0 0
-7.2 6
0 12

0 0
6 7.2
12 0

0 0
0.908831 11.0912
12 12

0 0
7.2 0
0 0

0 12
-7.2 18
0 24

0 12
7.2 6
0 0

0 12
6 19.2
12 12

0 12
0.908831 23.0912
12 24

0 12
11.0912 11.0912
12 0

0 12
7.2 12
0 12

0 24
-7.2 30
0 36

0 24
7.2 18
0 12

0 24
6 31.2
12 24

0 24
0.908831 35.0912
12 36

0 24
11.0912 23.0912
12 12

0 24
7.2 24
0 24

0 36
7.2 30
0 24

0 36
6 43.2
12 36

0 36
11.0912 35.0912
12 24

0 36
7.2 36
0 36

12 0
4.8 6
12 12

12 0
6 -7.2
0 0

12 0
18 7.2
24 0

12 0
12.9088 11.0912
24 12

12 0
0.908831 0.908831
0 12

12 0
19.2 0
12 0

12 12
4.8 18
12 24

12 12
19.2 6
12 0

12 12
6 4.8
0 12

12 12
18 19.2
24 12

12 12
12.9088 23.0912
24 24

12 12
0.908831 12.9088
0 24

12 12
23.0912 11.0912
24 0

12 12
11.0912 0.908831
0 0

12 12
19.2 12
12 12

12 24
4.8 30
12 36

12 24
19.2 18
12 12

12 24
6 16.8
0 24

12 24
18 31.2
24 24

12 24
12.9088 35.0912
24 36

12 24
0.908831 24.9088
0 36

12 24
23.0912 23.0912
24 12

12 24
11.0912 12.9088
0 12

12 24
19.2 24
12 24

12 36
19.2 30
12 24

12 36
6 28.8
0 36

12 36
18 43.2
24 36

12 36
23.0912 35.0912
24 24

12 36
11.0912 24.9088
0 24

12 36
19.2 36
12 36

24 0
16.8 6
24 12

24 0
18 -7.2
12 0

24 0
30 7.2
36 0

24 0
24.9088 11.0912
36 12

24 0
12.9088 0.908831
12 12

24 0
31.2 0
24 0

24 12
16.8 18
24 24

24 12
31.2 6
24 0

24 12
18 4.8
12 12

24 12
30 19.2
36 12

24 12
24.9088 23.0912
36 24

24 12
12.9088 12.9088
12 24

24 12
35.0912 11.0912
36 0

24 12
23.0912 0.908831
12 0

24 12
31.2 12
24 12

24 24
16.8 30
24 36

24 24
31.2 18
24 12

24 24
18 16.8
12 24

24 24
30 31.2
36 24

24 24
24.9088 35.0912
36 36

24 24
12.9088 24.9088
12 36

24 24
35.0912 23.0912
36 12

24 24
23.0912 12.9088
12 12

24 24
31.2 24
24 24

24 36
31.2 30
24 24

24 36
18 28.8
12 36

24 36
30 43.2
36 36

24 36
35.0912 35.0912
36 24

24 36
23.0912 24.9088
12 24

24 36
31.2 36
24 36

36 0
28.8 6
36 12

36 0
30 -7.2
24 0

36 0
24.9088 0.908831
24 12

36 0
43.2 0
36 0

36 12
28.8 18
36 24

36 12
43.2 6
36 0

36 12
30 4.8
24 12

36 12
24.9088 12.9088
24 24

36 12
35.0912 0.908831
24 0

36 12
43.2 12
36 12

36 24
28.8 30
36 36

36 24
43.2 18
36 12

36 24
30 16.8
24 24

36 24
24.9088 24.9088
24 36

36 24
35.0912 12.9088
24 12

36 24
43.2 24
36 24

36 36
43.2 30
36 24

36 36
30 28.8
24 36

36 36
35.0912 24.9088
24 24

36 36
43.2 36
36 36

