run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-21 14:06:14",2,1,3,8,6,3,45,3,3,0.0666667,0.0666667,6,6,11,5,1,0.454545,0,0,0,0,0,0.77,0,93,0,9,0.2,0
18,1,"2026-09-21 14:06:15",2,2,6,14,12,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,1.477,0,532,0,9,0.2,0
19,1,"2026-09-21 14:06:15",2,3,10,58,15,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,3.312,0,869,0,9,0.2,0
20,1,"2026-09-21 14:06:18",2,4,16,142,15,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0,0,9.296,0,400,0,6,0.133333,0
21,1,"2026-09-21 14:06:18",2,5,20,200,30,3,45,3,3,0.0666667,0.0666667,6,39,111,72,2,0.648649,0,0,0,0,0,5.469,0,562,0,18,0.4,0
22,1,"2026-09-21 14:06:19",2,6,27,226,30,3,45,3,3,0.0666667,0.0666667,6,53,153,100,6,0.653595,0,0,0,0,0,8.247,0,529,0,13,0.288889,0
23,1,"2026-09-21 14:06:19",2,7,38,252,54,3,45,3,3,0.0666667,0.0666667,6,70,165,95,1,0.575758,0,0,0,0,0,11.322,0,506,0,19,0.422222,0
24,1,"2026-09-21 14:06:19",2,8,39,350,24,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,16.158,0,204,0,17,0.377778,0
25,1,"2026-09-21 14:06:19",2,9,40,357,30,3,45,3,3,0.0666667,0.0666667,6,63,205,142,6,0.692683,0,0,0,0,0,15.172,0,329,0,19,0.422222,0
26,1,"2026-09-21 14:06:19",2,10,43,378,33,3,45,3,3,0.0666667,0.0666667,6,66,216,150,6,0.694444,0,0,0,0,0,15.77,0,328,0,19,0.422222,0
27,1,"2026-09-21 14:06:21",2,11,55,544,39,3,45,3,3,0.0666667,0.0666667,6,98,337,239,9,0.709199,0,0,0,0,0,31.737,0,587,0,23,0.511111,0
28,1,"2026-09-21 14:06:26",2,12,61,598,42,3,45,3,3,0.0666667,0.0666667,6,104,359,255,9,0.710306,0,0,0,0,0,35.354,0,575,0,24,0.533333,0
29,1,"2026-09-21 14:06:27",2,13,96,1458,21,3,45,3,3,0.0666667,0.0666667,6,101,410,309,6,0.753659,0,0,0,0,0,67.677,0,241,0,14,0.311111,0
30,1,"2026-09-21 14:06:28",2,14,128,2187,21,3,45,3,3,0.0666667,0.0666667,6,134,588,454,7,0.772109,0,0,0,0,0,142.255,0,142,0,12,0.266667,0
31,1,"2026-09-21 14:06:29",2,15,192,4374,24,3,45,3,3,0.0666667,0.0666667,6,198,908,710,7,0.781938,0,0,0,0,0,371.615,0,348,0,14,0.311111,0
32,1,"2026-09-21 14:06:30",2,16,256,6561,24,3,45,3,3,0.0666667,0.0666667,6,263,1294,1031,8,0.796754,0,0,0,0,0,733.58,0,243,0,10,0.222222,0
