run_id,trial_number,timestamp,Batch_Configuration,automaton_id,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
1,1,"2026-09-21 14:06:03",1,1,3,8,6,3,45,3,3,0.0666667,0.0666667,6,6,11,5,1,0.454545,0,0,0,0,0,1.451,0,93,0,9,0.2,0
2,1,"2026-09-21 14:06:03",1,2,6,14,12,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,0.883,0,477,0,10,0.222222,0
3,1,"2026-09-21 14:06:03",1,3,10,58,15,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,1.928,0,496,0,15,0.333333,0
4,1,"2026-09-21 14:06:06",1,4,16,142,15,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0.15625,0,8.622,0,2,0,12,0.266667,0
5,1,"2026-09-21 14:06:07",1,5,20,200,30,3,45,3,3,0.0666667,0.0666667,6,39,111,72,2,0.648649,0,0,0,0,0,5.991,0,395,0,15,0.333333,0
6,1,"2026-09-21 14:06:07",1,6,27,226,30,3,45,3,3,0.0666667,0.0666667,6,53,153,100,6,0.653595,0,0,0,0,0,8.529,0,101,0,16,0.355556,0
7,1,"2026-09-21 14:06:07",1,7,38,233,54,3,45,3,3,0.0666667,0.0666667,6,72,166,94,2,0.566265,0,0,0,0,0,10.688,0,265,0,16,0.355556,0
8,1,"2026-09-21 14:06:07",1,8,39,350,24,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,16.515,0,199,0,15,0.333333,0
9,1,"2026-09-21 14:06:07",1,9,40,357,30,3,45,3,3,0.0666667,0.0666667,6,63,205,142,6,0.692683,0,0,0,0,0,14.397,0,131,0,17,0.377778,0
10,1,"2026-09-21 14:06:08",1,10,43,378,33,3,45,3,3,0.0666667,0.0666667,6,66,216,150,6,0.694444,0,0,0,0,0,16.035,0,131,0,17,0.377778,0
11,1,"2026-09-21 14:06:09",1,11,55,544,39,3,45,3,3,0.0666667,0.0666667,6,98,337,239,9,0.709199,0,0,0,0,0,30.265,0,131,0,20,0.444444,0
12,1,"2026-09-21 14:06:13",1,12,61,598,42,3,45,3,3,0.0666667,0.0666667,6,104,359,255,9,0.710306,0,0,0,0,0,38.596,0,239,0,20,0.444444,0
13,1,"2026-09-21 14:06:13",1,13,96,1458,21,3,45,3,3,0.0666667,0.0666667,6,101,410,309,6,0.753659,0,0,0,0,0,70.692,0,100,0,15,0.333333,0
14,1,"2026-09-21 14:06:13",1,14,128,2187,21,3,45,3,3,0.0666667,0.0666667,6,134,588,454,7,0.772109,0,0,0,0,0,147.643,0,171,0,15,0.333333,0
15,1,"2026-09-21 14:06:14",1,15,192,4374,24,3,45,3,3,0.0666667,0.0666667,6,198,908,710,7,0.781938,0,0,0,0,0,375.454,0,152,0,15,0.333333,0
16,1,"2026-09-21 14:06:14",1,16,256,6561,24,3,45,3,3,0.0666667,0.0666667,6,263,1294,1031,8,0.796754,0,0,0,0,0,744.236,0,172,0,15,0.333333,0
