run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
43,1,"2026-09-21 14:49:06",3,1.000000,6,10,58,25,6,6,6,6,1,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.773,0,1425,0,6,1,0
44,1,"2026-09-21 14:49:06",3,1.500000,6,10,58,25,6,6,9,6,1.5,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.131,0,1421,0,6,1,0
45,1,"2026-09-21 14:49:06",3,2.000000,6,10,58,25,6,6,12,6,2,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.134,0,731,0,6,1,0
46,1,"2026-09-21 14:49:06",3,2.500000,6,10,58,25,6,6,15,6,2.5,1,6,19,51,32,2,0.627451,0,0,0,0,0,2.383,0,531,0,6,1,0
47,1,"2026-09-21 14:49:06",3,3.000000,6,10,58,25,6,6,18,6,3,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.021,0,380,0,6,1,0
48,1,"2026-09-21 14:49:06",3,3.500000,6,10,58,25,6,6,21,6,3.5,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.051,0,527,0,6,1,0
49,1,"2026-09-21 14:49:06",3,4.000000,6,10,58,25,6,6,24,6,4,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.121,0,405,0,6,1,0
