run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-13 21:45:20",1,0.500000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.756,0,710,0,3,0.1875,0
18,1,"2026-09-13 21:45:20",1,1.000000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.733,0,710,0,3,0.1875,0
19,1,"2026-09-13 21:45:21",1,1.500000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.784,0,710,0,3,0.1875,0
20,1,"2026-09-13 21:45:21",1,2.000000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.736,0,710,0,3,0.1875,0
21,1,"2026-09-13 21:45:21",1,2.500000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.699,0,709,0,3,0.1875,0
22,1,"2026-09-13 21:45:21",1,3.000000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.834,0,709,0,3,0.1875,0
23,1,"2026-09-13 21:45:22",1,3.500000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.823,0,709,0,3,0.1875,0
24,1,"2026-09-13 21:45:22",1,4.000000,16,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.321,0,709,0,3,0.1875,0
