config_id,automaton_id,average_capabilities,num_robots,num_runs,mean_time_ms,stddev_time_ms,min_time_ms,max_time_ms
101,5,1.000000,6,1,4.656,0,4.656,4.656
102,5,1.500000,10,1,5.139,0,5.139,5.139
103,5,1.500000,16,1,5.889,0,5.889,5.889
104,5,1.500000,6,1,4.759,0,4.759,4.759
105,5,2.000000,10,1,6.142,0,6.142,6.142
106,5,2.000000,16,1,5.965,0,5.965,5.965
107,5,2.000000,6,1,4.653,0,4.653,4.653
108,5,2.500000,10,1,5.211,0,5.211,5.211
109,5,2.500000,16,1,6.284,0,6.284,6.284
110,5,2.500000,6,1,4.618,0,4.618,4.618
111,5,3.000000,10,1,5.211,0,5.211,5.211
112,5,3.000000,16,1,6.096,0,6.096,6.096
113,5,3.000000,6,1,4.606,0,4.606,4.606
114,5,3.500000,10,1,5.181,0,5.181,5.181
115,5,3.500000,16,1,5.931,0,5.931,5.931
116,5,3.500000,6,1,4.642,0,4.642,4.642
117,5,4.000000,10,1,5.226,0,5.226,5.226
118,5,4.000000,16,1,5.988,0,5.988,5.988
119,5,4.000000,6,1,5.004,0,5.004,5.004
120,6,0.500000,10,1,11.928,0,11.928,11.928
121,6,0.500000,16,1,9.256,0,9.256,9.256
122,6,0.500000,6,1,6.75,0,6.75,6.75
123,6,1.000000,10,1,8.753,0,8.753,8.753
124,6,1.000000,16,1,8.538,0,8.538,8.538
125,6,1.000000,6,1,6.989,0,6.989,6.989
126,6,1.500000,10,1,7.631,0,7.631,7.631
127,6,1.500000,16,1,8.522,0,8.522,8.522
128,6,1.500000,6,1,7.179,0,7.179,7.179
129,6,2.000000,10,1,7.409,0,7.409,7.409
130,6,2.000000,16,1,8.406,0,8.406,8.406
131,6,2.000000,6,1,7.235,0,7.235,7.235
132,6,2.500000,10,1,7.392,0,7.392,7.392
133,6,2.500000,16,1,8.411,0,8.411,8.411
134,6,2.500000,6,1,6.703,0,6.703,6.703
135,6,3.000000,10,1,7.414,0,7.414,7.414
136,6,3.000000,16,1,8.512,0,8.512,8.512
137,6,3.000000,6,1,6.683,0,6.683,6.683
138,6,3.500000,10,1,7.374,0,7.374,7.374
139,6,3.500000,16,1,8.42,0,8.42,8.42
140,6,3.500000,6,1,6.775,0,6.775,6.775
141,6,4.000000,10,1,8.809,0,8.809,8.809
142,6,4.000000,16,1,8.524,0,8.524,8.524
143,6,4.000000,6,1,6.637,0,6.637,6.637
