run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
92,1,"2026-09-21 14:49:07",5,1.000000,10,20,200,31,6,10,10,6,1,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.956,0,1126,0,10,1,0
93,1,"2026-09-21 14:49:07",5,1.500000,10,20,200,31,6,10,15,6,1.5,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.842,0,1100,0,10,1,0
94,1,"2026-09-21 14:49:07",5,2.000000,10,20,200,31,6,10,20,6,2,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.68,0,525,0,10,1,0
95,1,"2026-09-21 14:49:07",5,2.500000,10,20,200,31,6,10,25,6,2.5,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.562,0,516,0,10,1,0
96,1,"2026-09-21 14:49:07",5,3.000000,10,20,200,31,6,10,30,6,3,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.902,0,397,0,10,1,0
97,1,"2026-09-21 14:49:07",5,3.500000,10,20,200,31,6,10,35,6,3.5,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,5.129,0,397,0,10,1,0
98,1,"2026-09-21 14:49:08",5,4.000000,10,20,200,31,6,10,40,6,4,0.6,6,39,111,72,2,0.648649,0,0,0,0,0,4.561,0,313,0,10,1,0
