run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
78,1,"2026-09-21 14:49:06",4,1.000000,16,16,142,25,6,16,16,6,1,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,7.061,0,293,0,15,0.9375,0
79,1,"2026-09-21 14:49:06",4,1.500000,16,16,142,25,6,16,24,6,1.5,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,6.811,0,292,0,15,0.9375,0
80,1,"2026-09-21 14:49:06",4,2.000000,16,16,142,25,6,16,32,6,2,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,5.983,0,173,0,16,1,0
81,1,"2026-09-21 14:49:06",4,2.500000,16,16,142,25,6,16,40,6,2.5,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,6.119,0,173,0,12,0.75,0
82,1,"2026-09-21 14:49:06",4,3.000000,16,16,142,25,6,16,48,6,3,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,5.481,0,172,0,12,0.75,0
83,1,"2026-09-21 14:49:06",4,3.500000,16,16,142,25,6,16,56,6,3.5,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,5.458,0,172,0,11,0.6875,0
84,1,"2026-09-21 14:49:06",4,4.000000,16,16,142,25,6,16,64,6,4,0.375,6,38,188,150,9,0.797872,0,0,0,0,0,5.363,0,172,0,10,0.625,0
