run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
137,1,"2026-09-13 21:45:26",6,0.500000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,8.81,0,931,0,3,0.1875,0
138,1,"2026-09-13 21:45:26",6,1.000000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,9.739,0,931,0,3,0.1875,0
139,1,"2026-09-13 21:45:26",6,1.500000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,8.84,0,930,0,3,0.1875,0
140,1,"2026-09-13 21:45:26",6,2.000000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,9.008,0,930,0,3,0.1875,0
141,1,"2026-09-13 21:45:26",6,2.500000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,9.579,0,930,0,3,0.1875,0
142,1,"2026-09-13 21:45:27",6,3.000000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,8.847,0,930,0,3,0.1875,0
143,1,"2026-09-13 21:45:27",6,3.500000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,8.694,0,930,0,3,0.1875,0
144,1,"2026-09-13 21:45:27",6,4.000000,16,27,226,22,3,16,6,6,0.375,0.375,6,53,153,100,6,0.653595,0,0,0,0,0,8.944,0,930,0,3,0.1875,0
