run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
129,1,"2026-09-13 21:45:25",6,0.500000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.769,0,931,0,3,0.3,0
130,1,"2026-09-13 21:45:25",6,1.000000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.803,0,931,0,3,0.3,0
131,1,"2026-09-13 21:45:25",6,1.500000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.738,0,930,0,3,0.3,0
132,1,"2026-09-13 21:45:25",6,2.000000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.63,0,930,0,3,0.3,0
133,1,"2026-09-13 21:45:26",6,2.500000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.948,0,930,0,3,0.3,0
134,1,"2026-09-13 21:45:26",6,3.000000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.648,0,930,0,3,0.3,0
135,1,"2026-09-13 21:45:26",6,3.500000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.767,0,930,0,3,0.3,0
136,1,"2026-09-13 21:45:26",6,4.000000,10,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.868,0,930,0,3,0.3,0
