run_id,trial_number,timestamp,automaton_id,average_capabilities,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
57,1,"2026-09-14 20:20:58",3,0.500000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.476,0,1334,0,3,0.3,0
58,1,"2026-09-14 20:20:58",3,1.000000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.428,0,1334,0,3,0.3,0
59,1,"2026-09-14 20:20:58",3,1.500000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.507,0,1333,0,3,0.3,0
60,1,"2026-09-14 20:20:58",3,2.000000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.347,0,1333,0,3,0.3,0
61,1,"2026-09-14 20:20:58",3,2.500000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.391,0,1333,0,3,0.3,0
62,1,"2026-09-14 20:20:58",3,3.000000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.372,0,1333,0,3,0.3,0
63,1,"2026-09-14 20:20:58",3,3.500000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.361,0,1333,0,3,0.3,0
64,1,"2026-09-14 20:20:58",3,4.000000,10,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.427,0,1333,0,3,0.3,0
