run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
112,1,"2026-09-13 21:46:58",6,6,0.600000,27,226,22,3,6,4,4,0.666667,0.666667,6,53,153,100,6,0.653595,0,0,0,0,0,6.848,0,931,0,3,0.5,0
113,1,"2026-09-13 21:46:58",6,6,1.000000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,6.758,0,931,0,3,0.5,0
114,1,"2026-09-13 21:46:58",6,6,1.400000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,6.723,0,607,0,4,0.666667,0
115,1,"2026-09-13 21:46:58",6,6,1.800000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,6.873,0,553,0,4,0.666667,0
116,1,"2026-09-13 21:46:58",6,6,2.200000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,6.564,0,554,0,4,0.666667,0
117,1,"2026-09-13 21:46:58",6,6,2.600000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,6.578,0,554,0,4,0.666667,0
118,1,"2026-09-13 21:46:58",6,6,3.000000,27,226,22,3,6,6,6,1,1,6,53,153,100,6,0.653595,0,0,0,0,0,7.472,0,554,0,4,0.666667,0
