run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
52,1,"2026-09-14 20:23:39",3,10,0.600000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.436,0,1334,0,3,0.3,0
53,1,"2026-09-14 20:23:39",3,10,1.000000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.313,0,659,0,6,0.6,0
54,1,"2026-09-14 20:23:39",3,10,1.400000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.254,0,536,0,6,0.6,0
55,1,"2026-09-14 20:23:39",3,10,1.800000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.261,0,536,0,6,0.6,0
56,1,"2026-09-14 20:23:39",3,10,2.200000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.293,0,536,0,6,0.6,0
57,1,"2026-09-14 20:23:39",3,10,2.600000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.316,0,536,0,6,0.6,0
58,1,"2026-09-14 20:23:39",3,10,3.000000,10,58,11,3,10,6,6,0.6,0.6,6,19,51,32,2,0.627451,0,0,0,0,0,1.611,0,536,0,6,0.6,0
