run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
104,1,"2026-09-14 20:23:41",5,16,0.200000,20,200,13,2,16,3,3,0.1875,0.1875,6,39,111,72,2,0.648649,0,0,0,0,0,6.048,0,2688,0,2,0.125,0
105,1,"2026-09-14 20:23:41",5,16,0.600000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,6.043,0,1443,0,4,0.25,0
106,1,"2026-09-14 20:23:41",5,16,1.000000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.693,0,960,0,5,0.3125,0
107,1,"2026-09-14 20:23:41",5,16,1.400000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.78,0,960,0,5,0.3125,0
108,1,"2026-09-14 20:23:41",5,16,1.800000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.739,0,960,0,5,0.3125,0
109,1,"2026-09-14 20:23:41",5,16,2.200000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.683,0,960,0,5,0.3125,0
110,1,"2026-09-14 20:23:41",5,16,2.600000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.774,0,960,0,5,0.3125,0
111,1,"2026-09-14 20:23:42",5,16,3.000000,20,200,13,2,16,6,6,0.375,0.375,6,39,111,72,2,0.648649,0,0,0,0,0,5.782,0,960,0,5,0.3125,0
