run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
15,1,"2026-09-14 20:23:37",1,16,0.200000,3,8,4,3,16,3,3,0.1875,0.1875,6,6,11,5,1,0.454545,0,0,0,0,0,0.601,0,710,0,3,0.1875,0
16,1,"2026-09-14 20:23:37",1,16,0.600000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.704,0,309,0,6,0.375,0
17,1,"2026-09-14 20:23:38",1,16,1.000000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.606,0,247,0,7,0.4375,0
18,1,"2026-09-14 20:23:38",1,16,1.400000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.622,0,247,0,7,0.4375,0
19,1,"2026-09-14 20:23:38",1,16,1.800000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.527,0,247,0,7,0.4375,0
20,1,"2026-09-14 20:23:39",1,16,2.200000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.521,0,247,0,7,0.4375,0
21,1,"2026-09-14 20:23:39",1,16,2.600000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.363,0,247,0,7,0.4375,0
22,1,"2026-09-14 20:23:39",1,16,3.000000,3,8,4,3,16,6,6,0.375,0.375,6,6,11,5,1,0.454545,0,0,0,0,0,0.434,0,247,0,7,0.4375,0
