run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
54,1,"2026-09-21 21:01:10",4,16,0.500000,12,80,25,8,16,96,8,6,0.5,6,31,101,70,6,0.693069,0,0,0,0,0,2.5,0,172,0,12,0.75,0
55,1,"2026-09-21 21:01:10",4,16,0.625000,12,80,25,8,16,112,10,7,0.625,6,31,101,70,6,0.693069,0,0,0,0,0,2.716,0,172,0,12,0.75,0
56,1,"2026-09-21 21:01:10",4,16,0.750000,12,80,25,8,16,144,12,9,0.75,6,31,101,70,6,0.693069,0,0,0,0,0,2.512,0,172,0,12,0.75,0
