run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
33,1,"2026-09-21 21:01:10",3,6,1.000000,10,58,17,6,6,24,6,4,1,6,19,51,32,2,0.627451,0,0,0,0,0,1.09,0,380,0,6,1,0
34,1,"2026-09-21 21:01:10",3,6,1.200000,10,58,17,6,6,30,7,5,1.16667,6,19,51,32,2,0.627451,0,0,0,0,0,1.054,0,376,0,6,1,0
35,1,"2026-09-21 21:01:10",3,6,1.400000,10,58,17,6,6,36,8,6,1.33333,6,19,51,32,2,0.627451,0,0,0,0,0,1.149,0,379,0,6,1,0
36,1,"2026-09-21 21:01:10",3,6,1.600000,10,58,17,6,6,42,10,7,1.66667,6,19,51,32,2,0.627451,0,0,0,0,0,1.067,0,380,0,6,1,0
37,1,"2026-09-21 21:01:10",3,6,1.800000,10,58,17,6,6,48,11,8,1.83333,6,19,51,32,2,0.627451,0,0,0,0,0,1.041,0,380,0,6,1,0
38,1,"2026-09-21 21:01:10",3,6,2.000000,10,58,17,6,6,54,12,9,2,6,19,51,32,2,0.627451,0,0,0,0,0,1.051,0,380,0,6,1,0
