run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
119,1,"2026-09-13 21:46:59",6,10,0.600000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.514,0,931,0,3,0.3,0
120,1,"2026-09-13 21:46:59",6,10,1.000000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.337,0,554,0,6,0.6,0
121,1,"2026-09-13 21:46:59",6,10,1.400000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.403,0,518,0,6,0.6,0
122,1,"2026-09-13 21:46:59",6,10,1.800000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.167,0,518,0,6,0.6,0
123,1,"2026-09-13 21:46:59",6,10,2.200000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.189,0,518,0,6,0.6,0
124,1,"2026-09-13 21:46:59",6,10,2.600000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.183,0,518,0,6,0.6,0
125,1,"2026-09-13 21:46:59",6,10,3.000000,27,226,22,3,10,6,6,0.6,0.6,6,53,153,100,6,0.653595,0,0,0,0,0,7.157,0,518,0,6,0.6,0
