run_id,trial_number,timestamp,automaton_id,num_robots,robot_homogeneity,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
19,1,"2026-09-21 21:01:10",2,6,1.000000,6,14,10,6,6,24,6,4,1,6,11,23,12,1,0.521739,0,0,0,0,0,0.763,0,172,0,6,1,0
20,1,"2026-09-21 21:01:10",2,6,1.200000,6,14,10,6,6,30,7,5,1.16667,6,11,23,12,1,0.521739,0,0,0,0,0,0.842,0,306,0,6,1,0
21,1,"2026-09-21 21:01:10",2,6,1.400000,6,14,10,6,6,36,8,6,1.33333,6,11,23,12,1,0.521739,0,0,0,0,0,0.799,0,172,0,6,1,0
22,1,"2026-09-21 21:01:10",2,6,1.600000,6,14,10,6,6,42,10,7,1.66667,6,11,23,12,1,0.521739,0,0,0,0,0,0.499,0,172,0,6,1,0
23,1,"2026-09-21 21:01:10",2,6,1.800000,6,14,10,6,6,48,11,8,1.83333,6,11,23,12,1,0.521739,0,0,0,0,0,0.348,0,172,0,6,1,0
24,1,"2026-09-21 21:01:10",2,6,2.000000,6,14,10,6,6,54,12,9,2,6,11,23,12,1,0.521739,0,0,0,0,0,0.314,0,172,0,6,1,0
