run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-21 14:02:20",1,6,3,8,4,3,6,3,3,0.5,0.5,6,6,11,5,1,0.454545,0,0,0,0,0,0.324,0,140,0,6,1,0
18,1,"2026-09-21 14:02:20",2,6,6,14,8,3,6,3,3,0.5,0.5,6,11,23,12,1,0.521739,0,0,0,0,0,0.685,0,288,0,6,1,0
19,1,"2026-09-21 14:02:20",3,6,10,58,11,3,6,3,3,0.5,0.5,6,19,51,32,2,0.627451,0,0,0,0,0,1.5,0,551,0,6,1,0
20,1,"2026-09-21 14:02:20",4,6,16,142,10,3,6,3,3,0.5,0.5,6,38,188,150,9,0.797872,0,0,0,0,0,4.44,0,205,0,5,0.833333,0
21,1,"2026-09-21 14:02:20",5,6,20,200,13,2,6,3,3,0.5,0.5,6,39,111,72,2,0.648649,0,0,0,0,0,4.225,0,1020,0,4,0.666667,0
22,1,"2026-09-21 14:02:21",6,6,27,226,22,3,6,3,3,0.5,0.5,6,53,153,100,6,0.653595,0,0,0,0,0,6.257,0,302,0,6,1,0
23,1,"2026-09-21 14:02:27",7,6,38,252,29,3,6,3,3,0.5,0.5,6,70,165,95,1,0.575758,0,0,0,0,0,10.289,0,862,0,6,1,0
24,1,"2026-09-21 14:02:27",8,6,39,350,17,3,6,3,3,0.5,0.5,6,71,235,164,6,0.697872,0,0,0,0,0,13.046,0,421,0,5,0.833333,0
25,1,"2026-09-21 14:02:40",9,6,40,357,21,3,6,3,3,0.5,0.5,6,63,205,142,6,0.692683,0,0,0,0,0,15.078,0,383,0,5,0.833333,0
26,1,"2026-09-21 14:02:42",10,6,43,378,24,3,6,3,3,0.5,0.5,6,66,216,150,6,0.694444,0,0,0,0,0,13.447,0,383,0,6,1,0
27,1,"2026-09-21 14:02:44",11,6,55,544,28,3,6,3,3,0.5,0.5,6,98,337,239,9,0.709199,0,0,0,0,0,26.247,0,488,0,6,1,0
28,1,"2026-09-21 14:02:47",12,6,61,598,30,3,6,3,3,0.5,0.5,6,104,359,255,9,0.710306,0,0,0,0,0,30.227,0,695,0,6,1,0
29,1,"2026-09-21 14:02:48",13,6,96,1458,16,3,6,3,3,0.5,0.5,6,101,410,309,6,0.753659,0,0,0,0,0,63.846,0,277,0,6,1,0
30,1,"2026-09-21 14:02:48",14,6,128,2187,16,3,6,3,3,0.5,0.5,6,134,588,454,7,0.772109,0,0,0,0,0,123.64,0,212,0,6,1,0
31,1,"2026-09-21 14:02:48",15,6,192,4374,18,3,6,3,3,0.5,0.5,6,198,908,710,7,0.781938,0,0,0,0,0,348.04,0,318,0,6,1,0
32,1,"2026-09-21 14:02:49",16,6,256,6561,18,3,6,3,3,0.5,0.5,6,263,1294,1031,8,0.796754,0,0,0,0,0,667.348,0,335,0,6,1,0
