run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
49,1,"2026-09-13 21:49:44",1,45,3,8,4,3,45,3,3,0.0666667,0.0666667,6,6,11,5,1,0.454545,0,0,0,0,0,0.469,0,52,0,10,0.222222,0
50,1,"2026-09-13 21:49:44",2,45,6,14,8,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,1.001,0,55,0,14,0.311111,0
51,1,"2026-09-13 21:49:44",3,45,10,58,11,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,1.81,0,88,0,25,0.555556,0
52,1,"2026-09-13 21:49:44",4,45,16,142,10,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0,0,9.344,0,160,0,14,0.311111,0
53,1,"2026-09-13 21:49:44",5,45,20,200,13,2,45,3,3,0.0666667,0.0666667,6,39,111,72,2,0.648649,0,0,0,0,0,7.472,0,288,0,21,0.466667,0
54,1,"2026-09-13 21:49:45",6,45,27,226,22,3,45,3,3,0.0666667,0.0666667,6,53,153,100,6,0.653595,0,0,0,0,0,9.854,0,200,0,18,0.4,0
55,1,"2026-09-13 21:49:50",7,45,38,252,29,3,45,3,3,0.0666667,0.0666667,6,70,165,95,1,0.575758,0,0,0,0,0,14.269,0,288,0,27,0.6,0
56,1,"2026-09-13 21:49:50",8,45,39,350,17,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,17.573,0,200,0,14,0.311111,0
57,1,"2026-09-13 21:50:03",9,45,40,357,21,3,45,3,3,0.0666667,0.0666667,6,63,205,142,6,0.692683,0,0,0,0,0,16.084,0,200,0,16,0.355556,0
58,1,"2026-09-13 21:50:03",10,45,43,378,24,3,45,3,3,0.0666667,0.0666667,6,66,216,150,6,0.694444,0,0,0,0,0,17.954,0,200,0,19,0.422222,0
59,1,"2026-09-13 21:50:05",11,45,55,544,28,3,45,3,3,0.0666667,0.0666667,6,98,337,239,9,0.709199,0,0,0,0,0,32.335,0,200,0,34,0.755556,0
60,1,"2026-09-13 21:50:09",12,45,61,598,30,3,45,3,3,0.0666667,0.0666667,6,104,359,255,9,0.710306,0,0,0,0,0,37.266,0,200,0,35,0.777778,0
61,1,"2026-09-13 21:50:09",13,45,96,1458,16,3,45,3,3,0.0666667,0.0666667,6,101,410,309,6,0.753659,0,0,0,0,0,67.971,0,160,0,16,0.355556,0
62,1,"2026-09-13 21:50:09",14,45,128,2187,16,3,45,3,3,0.0666667,0.0666667,6,134,588,454,7,0.772109,0,0,0,0,0,130.535,0,160,0,16,0.355556,0
63,1,"2026-09-13 21:50:09",15,45,192,4374,18,3,45,3,3,0.0666667,0.0666667,6,198,908,710,7,0.781938,0,0,0,0,0,360.639,0,200,0,18,0.4,0
64,1,"2026-09-13 21:50:10",16,45,256,6561,18,3,45,3,3,0.0666667,0.0666667,6,263,1294,1031,8,0.796754,0,0,0,0,0,707.666,0,200,0,18,0.4,0
