run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
9,1,"2026-09-21 14:09:42",2,3,6,14,8,3,3,3,3,1,1,6,11,23,12,1,0.521739,584,5817,0.0393836,0,24.5469,0.861,2190.76,917,1387,3,1,0
10,1,"2026-09-21 14:09:42",2,6,6,14,8,3,6,3,3,0.5,0.5,6,11,23,12,1,0.521739,0,0,0,0,0,0.426,0,308,0,5,0.833333,0
11,1,"2026-09-21 14:09:42",2,12,6,14,8,3,12,3,3,0.25,0.25,6,11,23,12,1,0.521739,0,0,0,0,0,0.373,0,173,0,8,0.666667,0
12,1,"2026-09-21 14:09:42",2,18,6,14,8,3,18,3,3,0.166667,0.166667,6,11,23,12,1,0.521739,0,0,0,0,0,0.409,0,173,0,9,0.5,0
13,1,"2026-09-21 14:09:42",2,24,6,14,8,3,24,3,3,0.125,0.125,6,11,23,12,1,0.521739,0,0,0,0,0,0.444,0,173,0,9,0.375,0
14,1,"2026-09-21 14:09:42",2,30,6,14,8,3,30,3,3,0.1,0.1,6,11,23,12,1,0.521739,0,0,0,0,0,0.511,0,173,0,9,0.3,0
15,1,"2026-09-21 14:09:42",2,36,6,14,8,3,36,3,3,0.0833333,0.0833333,6,11,23,12,1,0.521739,0,0,0,0,0,0.495,0,173,0,9,0.25,0
16,1,"2026-09-21 14:09:42",2,45,6,14,8,3,45,3,3,0.0666667,0.0666667,6,11,23,12,1,0.521739,0,0,0,0,0,0.657,0,173,0,9,0.2,0
