run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
17,1,"2026-09-21 14:09:45",3,3,10,58,11,3,3,3,3,1,1,6,19,51,32,2,0.627451,683,6114,0.0746706,0,13.918,2.364,2787.29,1419,1506,3,1,0
18,1,"2026-09-21 14:09:45",3,6,10,58,11,3,6,3,3,0.5,0.5,6,19,51,32,2,0.627451,0,0,0,0,0,1.065,0,561,0,6,1,0
19,1,"2026-09-21 14:09:45",3,12,10,58,11,3,12,3,3,0.25,0.25,6,19,51,32,2,0.627451,0,0,0,0,0,1.159,0,199,0,11,0.916667,0
20,1,"2026-09-21 14:09:45",3,18,10,58,11,3,18,3,3,0.166667,0.166667,6,19,51,32,2,0.627451,0,0,0,0,0,1.259,0,173,0,13,0.722222,0
21,1,"2026-09-21 14:09:45",3,24,10,58,11,3,24,3,3,0.125,0.125,6,19,51,32,2,0.627451,0,0,0,0,0,1.326,0,173,0,13,0.541667,0
22,1,"2026-09-21 14:09:45",3,30,10,58,11,3,30,3,3,0.1,0.1,6,19,51,32,2,0.627451,0,0,0,0,0,1.471,0,173,0,14,0.466667,0
23,1,"2026-09-21 14:09:45",3,36,10,58,11,3,36,3,3,0.0833333,0.0833333,6,19,51,32,2,0.627451,0,0,0,0,0,1.503,0,173,0,14,0.388889,0
24,1,"2026-09-21 14:09:45",3,45,10,58,11,3,45,3,3,0.0666667,0.0666667,6,19,51,32,2,0.627451,0,0,0,0,0,1.641,0,173,0,15,0.333333,0
