run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
25,1,"2026-09-21 14:09:47",4,3,16,142,10,3,3,3,3,1,1,6,38,188,150,9,0.797872,620,6161,0.303226,0,1.25,8.014,2549.89,728,965,3,1,0
26,1,"2026-09-21 14:09:47",4,6,16,142,10,3,6,3,3,0.5,0.5,6,38,188,150,9,0.797872,0,0,0,0,0,4.689,0,289,0,5,0.833333,0
27,1,"2026-09-21 14:09:47",4,12,16,142,10,3,12,3,3,0.25,0.25,6,38,188,150,9,0.797872,0,0,0,0,0,5.237,0,173,0,8,0.666667,0
28,1,"2026-09-21 14:09:47",4,18,16,142,10,3,18,3,3,0.166667,0.166667,6,38,188,150,9,0.797872,0,0,0,0,0,5.73,0,173,0,8,0.444444,0
29,1,"2026-09-21 14:09:47",4,24,16,142,10,3,24,3,3,0.125,0.125,6,38,188,150,9,0.797872,0,0,0,0,0,6.009,0,173,0,8,0.333333,0
30,1,"2026-09-21 14:09:47",4,30,16,142,10,3,30,3,3,0.1,0.1,6,38,188,150,9,0.797872,0,0,0,0,0,6.699,0,173,0,8,0.266667,0
31,1,"2026-09-21 14:09:47",4,36,16,142,10,3,36,3,3,0.0833333,0.0833333,6,38,188,150,9,0.797872,0,0,0,0,0,7.131,0,173,0,8,0.222222,0
32,1,"2026-09-21 14:09:47",4,45,16,142,10,3,45,3,3,0.0666667,0.0666667,6,38,188,150,9,0.797872,0,0,0,0,0,7.403,0,173,0,8,0.177778,0
