run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,total_required_capabilities,independent_required_capabilities,num_robots,total_robot_capabilities,independent_robot_capabilities,avg_capabilities_per_robot,capability_homogeneity,num_ts_regions,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,pruning_ratio,full_product_automaton_nodes,full_product_automaton_edges,explored_product_ratio,task_allocation_algorithm_memory_MB,full_product_automaton_memory_MB,total_computation_time_ms,product_computation_time_ms,tree_makespan_seconds,product_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
41,1,"2026-09-21 14:10:26",6,3,39,350,17,3,3,3,3,1,1,6,71,235,164,6,0.697872,2610,7857,0.0900383,0,0,11.869,18119.6,659,4.29497e+09,3,1,0
42,1,"2026-09-21 14:10:26",6,6,39,350,17,3,6,3,3,0.5,0.5,6,71,235,164,6,0.697872,0,0,0,0,0,12.532,0,313,0,5,0.833333,0
43,1,"2026-09-21 14:10:26",6,12,39,350,17,3,12,3,3,0.25,0.25,6,71,235,164,6,0.697872,0,0,0,0,0,14.054,0,172,0,7,0.583333,0
44,1,"2026-09-21 14:10:27",6,18,39,350,17,3,18,3,3,0.166667,0.166667,6,71,235,164,6,0.697872,0,0,0,0,0,14.115,0,172,0,7,0.388889,0
45,1,"2026-09-21 14:10:27",6,24,39,350,17,3,24,3,3,0.125,0.125,6,71,235,164,6,0.697872,0,0,0,0,0,13.883,0,142,0,17,0.708333,0
46,1,"2026-09-21 14:10:27",6,30,39,350,17,3,30,3,3,0.1,0.1,6,71,235,164,6,0.697872,0,0,0,0,0,15.82,0,142,0,21,0.7,0
47,1,"2026-09-21 14:10:27",6,36,39,350,17,3,36,3,3,0.0833333,0.0833333,6,71,235,164,6,0.697872,0,0,0,0,0,14.846,0,142,0,21,0.583333,0
48,1,"2026-09-21 14:10:27",6,45,39,350,17,3,45,3,3,0.0666667,0.0666667,6,71,235,164,6,0.697872,0,0,0,0,0,15.404,0,142,0,18,0.4,0
